,INT_ANY,INT_IDEO,INT_LOG,INT_MISC,addnotes,alternative,alternative_txt,approxdate,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,city,claim2,claim3,claimed,claimmode,claimmode2,claimmode2_txt,claimmode3,claimmode3_txt,claimmode_txt,compclaim,corp1,corp2,corp3,country,country_txt,crit1,crit2,crit3,dbsource,divert,doubtterr,eventid,extended,gname,gname2,gname3,gsubname,gsubname2,gsubname3,guncertain1,guncertain2,guncertain3,hostkidoutcome,hostkidoutcome_txt,iday,imonth,ingroup,ingroup2,ingroup3,ishostkid,iyear,kidhijcountry,latitude,location,longitude,motive,multiple,natlty1,natlty1_txt,natlty2,natlty2_txt,natlty3,natlty3_txt,ndays,nhostkid,nhostkidus,nhours,nkill,nkillter,nkillus,nperpcap,nperps,nreleased,nwound,nwoundte,nwoundus,propcomment,property,propextent,propextent_txt,propvalue,provstate,ransom,ransomamt,ransomamtus,ransomnote,ransompaid,ransompaidus,region,region_txt,related,resolution,scite1,scite2,scite3,specificity,success,suicide,summary,target1,target2,target3,targsubtype1,targsubtype1_txt,targsubtype2,targsubtype2_txt,targsubtype3,targsubtype3_txt,targtype1,targtype1_txt,targtype2,targtype2_txt,targtype3,targtype3_txt,vicinity,weapdetail,weapsubtype1,weapsubtype1_txt,weapsubtype2,weapsubtype2_txt,weapsubtype3,weapsubtype3_txt,weapsubtype4,weapsubtype4_txt,weaptype1,weaptype1_txt,weaptype2,weaptype2_txt,weaptype3,weaptype3_txt,weaptype4,weaptype4_txt,datetime
14874,,,,,,1.0,Insurgency/Guerilla Action,,3,Bombing/Explosion,,,,,Latifiyah,,,0.0,,,,,,,,Iraqi Army,,,95.0,Iraq,1,1,0,,,1,201601020001,0.0,Unknown,,,,,,0.0,,,,,2,1,,,,0.0,2016,,32.98499,,44.35676,,0.0,95.0,Iraq,,,,,,,,,1.0,0.0,0.0,0.0,-99.0,,4.0,0.0,0.0,It is unknown if any property was damaged in this attack.,-9,,,,Babil,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Roundup of Security Incidents 29 December-4 January 2016,"" OSC Summary, December 29, 2015.",,,1.0,1,0,"01/02/2016: An explosive device detonated targeting a military patrol in Latifiyah, Babil, Iraq. At least one soldier was killed and four soldiers were injured in the blast. No group claimed responsibility for the incident.",Patrol,,,29.0,Military Unit/Patrol/Convoy,,,,,4.0,Military,,,,,0.0,,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-02
14875,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.",,,2016-01-02 00:00:00,3,Bombing/Explosion,,,,,Baghdad,,,0.0,,,,,,,,Not Applicable,,,95.0,Iraq,1,1,1,,,0,201601020002,0.0,Unknown,,,,,,0.0,,,,,2,1,,,,0.0,2016,,33.297541,The incident occurred in the Amiriyah area in the Mansour neighborhood.,44.290516,,0.0,95.0,Iraq,,,,,,,,,1.0,0.0,0.0,0.0,-99.0,,5.0,0.0,0.0,It is unknown if any property was damaged in this attack.,-9,,,,Baghdad,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Security Roundup 1900 GMT 02 January 2016,"" OSC Summary, January 2, 2016.","""Iraq: Roundup of Security Incidents 29 December-4 January 2016,"" OSC Summary, December 29, 2015.",,0.0,1,0,"01/02/2016: An explosive device detonated in Amiriyah area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and five people were injured in the blast. No group claimed responsibility for the incident.",Civilians,,,67.0,Unnamed civilians-ambiguous,,,,,14.0,Private Citizens & Property,,,,,0.0,,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-02
14876,,,,,,,,,3,Bombing/Explosion,,,,,Baghdad,,,0.0,,,,,,,,Not Applicable,,,95.0,Iraq,1,1,1,,,0,201601020003,0.0,Unknown,,,,,,0.0,,,,,2,1,,,,0.0,2016,,33.393865,The incident occurred in the Obaydi area in the 9 Nissan neighborhood.,44.530613,,0.0,95.0,Iraq,,,,,,,,,2.0,0.0,0.0,0.0,-99.0,,7.0,0.0,0.0,It is unknown if any property was damaged in this attack.,-9,,,,Baghdad,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Roundup of Security Incidents 29 December-4 January 2016,"" OSC Summary, December 29, 2015.",,,0.0,1,0,"01/02/2016: An explosive device detonated near a cafe in Obaydi area, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and seven people were injured in the blast. No group claimed responsibility for the incident.",Civilians,,,67.0,Unnamed civilians-ambiguous,,,,,14.0,Private Citizens & Property,,,,,0.0,,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-02
14877,,,,,,,,2016-01-02 00:00:00,3,Bombing/Explosion,,,,,Ramadi,,,0.0,,,,,,,,Al Ishraq,,,95.0,Iraq,1,1,1,,,0,201601020005,0.0,Unknown,,,,,,0.0,,,,,2,1,,,,0.0,2016,,33.435279,,43.281158,,0.0,95.0,Iraq,,,,,,,,,0.0,0.0,0.0,0.0,-99.0,,1.0,0.0,0.0,It is unknown if any property was damaged in this attack.,-9,,,,Al Anbar,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Roundup of Security Incidents 29 December-4 January 2016,"" OSC Summary, December 29, 2015.",,,1.0,1,0,"01/02/2016: Assailants fired a rocket at a vehicle in Ramadi, Al Anbar, Iraq. Ali Najm, an Al Ishraq satellite TV station correspondent, was injured in the attack. No group claimed responsibility for the incident.",Director of Satellite Television Station,,,55.0,Television journalists/staff/facilities,,,,,10.0,Journalists & Media,,,,,0.0,A rocket was used in the attack.,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-02
14882,,,,,,,,2016-01-02 00:00:00,3,Bombing/Explosion,,,,,Taji,,,0.0,,,,,,,,Unknown,,,95.0,Iraq,1,1,1,,,0,201601020013,0.0,Unknown,,,,,,0.0,,,,,2,1,,,,0.0,2016,,33.537227,The incident occurred in the As Safi River area.,44.26214,,0.0,95.0,Iraq,,,,,,,,,0.0,0.0,0.0,0.0,-99.0,,0.0,0.0,0.0,,0,,,,Saladin,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Security Roundup 1900 GMT 02 January 2016,"" OSC Summary, January 2, 2016.",,,1.0,0,0,"01/02/2016: Security forces discovered and defused three explosive devices in As Safi River area, Taji, Saladin, Iraq. No group claimed responsibility for the incident.",Unknown,,,,,,,,,20.0,Unknown,,,,,0.0,Three explosive devices were used in the attack.,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-02
14883,,,,,,,,,6,Hostage Taking (Kidnapping),,,,,Qayyarah,,,0.0,,,,,,,,Not Applicable,,,95.0,Iraq,1,1,1,,,0,201601020015,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,4.0,Hostage(s) killed (not during rescue attempt),2,1,,,,1.0,2016,,35.798868,The incident occurred in the Al Hud area.,43.294887,"The specific motive is unknown; however, sources posited that the Islamic State of Iraq and the Levant (ISIL) accused the victims of working with security personnel.",0.0,95.0,Iraq,,,,,,83.0,0.0,-99.0,83.0,0.0,0.0,0.0,-99.0,0.0,0.0,0.0,0.0,,0,,,,Nineveh,0.0,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Security Roundup 1900 GMT 02 January 2016,"" OSC Summary, January 2, 2016.",,,1.0,1,0,"01/02/2016: Assailants executed 83 Al Jabbur tribal members in Al Hud, Qayyarah, Nineveh, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to Islamic State of Iraq and the Levant (ISIL). The victims were accused of cooperating with security forces.",Al Jabbur Tribal Members,,,67.0,Unnamed civilians-ambiguous,,,,,14.0,Private Citizens & Property,,,,,0.0,,,,,,,,,,13,Unknown,,,,,,,2016-01-02
14884,,,,,,1.0,Insurgency/Guerilla Action,,3,Bombing/Explosion,,,,,Fallujah,,,1.0,8.0,,,,,Personal claim,,Iraqi Army,,,95.0,Iraq,1,1,0,,,1,201601020016,0.0,Islamic State of Iraq and the Levant (ISIL),,,,,,0.0,,,,,2,1,,,,0.0,2016,,33.349996,,43.783118,,0.0,95.0,Iraq,,,,,,,,,8.0,7.0,0.0,0.0,7.0,,2.0,0.0,0.0,,0,,,,Al Anbar,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Security Roundup 1900 GMT 02 January 2016,"" OSC Summary, January 2, 2016.","""Iraq kills 7 IS militants in E. Fallujah,"" Kuwait News Agency, January 2, 2016.","""Terrorism: Transcript of ISIL's Al-Bayan Radio Broadcast for 3 January,"" Twitter, January 3, 2016.",1.0,1,1,"01/02/2016: Seven suicide bombers attempted to raid a military headquarters east of Fallujah, Al Anbar Iraq. The seven assailants and one soldier were killed and two soldiers were injured in the ensuing clash. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",1st Rapid Intervention Division Headquarters,,,27.0,Military Barracks/Base/Headquarters/Checkpost,,,,,4.0,Military,,,,,1.0,,13.0,Suicide (carried bodily by human being),,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-02
14885,,,,,,1.0,Insurgency/Guerilla Action,,3,Bombing/Explosion,,,,,Ramadi,,,0.0,,,,,,,,Iraqi Armed Forces,,,95.0,Iraq,1,1,0,,,1,201601020019,0.0,Unknown,,,,,,0.0,,,,,2,1,,,,0.0,2016,,33.416682,,43.300009,,0.0,95.0,Iraq,,,,,,,,,4.0,0.0,0.0,0.0,-99.0,,6.0,0.0,0.0,A house was damaged in this attack.,1,3.0,Minor (likely < $1 million),-99.0,Al Anbar,,,,,,,10.0,Middle East & North Africa,,,"""Security forces continue fighting IS in Iraq's Anbar,"" Xinhua General News Service, January 2, 2016.",,,1.0,1,0,"01/02/2016: An explosives-rigged house detonated in Ramadi city, Al Anbar, Iraq. At least four security force members were killed and six members were injured in the blast. No group claimed responsibility for the incident.",Personnel,,,34.0,"Military Personnel (soldiers, troops, officers, forces)",,,,,4.0,Military,,,,,0.0,An explosives-laden house was used in the attack.,17.0,Other Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-02
14893,,,,,,,,,3,Bombing/Explosion,,,,,Baghdad,,,0.0,,,,,,,,United States Department of State,,,95.0,Iraq,1,1,1,,,0,201601020035,0.0,Unknown,,,,,,0.0,,,,,2,1,,,,0.0,2016,,33.298549,The incident occurred in the Um Al Khanzeer Island area in the Karkh neighborhood.,44.395746,,0.0,217.0,United States,,,,,,,,,0.0,0.0,0.0,0.0,-99.0,,0.0,0.0,0.0,It is unknown if any property was damaged in this attack.,-9,,,,Baghdad,,,,,,,10.0,Middle East & North Africa,,,"""State PAO: Iraqi Media Summary for 4 January 2016,"" Baghdad US Embassy Public Affairs Office, January 4, 2016.","""BBC Monitoring: Pan-Arab TV Headlines,"" BBC Monitoring, January 4, 2016.",,0.0,1,0,"01/02/2016: Assailants fired a rocket at the United States embassy in Baghdad city, Baghdad governorate, Iraq. There were no reported casualties resulting from the attack. No group claimed responsibility for the incident.",Embassy,,,46.0,Embassies/Consulates,,,,,7.0,Government (Diplomatic),,,,,0.0,Rockets were used in the attack.,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-02
14897,,,,,,,,,3,Bombing/Explosion,,,,,Baghdad,,,0.0,,,,,,,,Unknown,,,95.0,Iraq,1,1,1,,,0,201601030002,0.0,Unknown,,,,,,0.0,,,,,3,1,,,,0.0,2016,,33.347518,The incident occurred in the Sheikh Omar area in the Rusafa neighborhood.,44.40288,,0.0,95.0,Iraq,,,,,,,,,1.0,0.0,0.0,0.0,-99.0,,8.0,0.0,0.0,A bus was damaged in this attack.,1,3.0,Minor (likely < $1 million),-99.0,Baghdad,,,,,,,10.0,Middle East & North Africa,,,"""Iraq: Roundup of Security Incidents 29 December-4 January 2016,"" OSC Summary, December 29, 2015.",,,0.0,1,0,"01/03/2016: An explosive device planted on a bus detonated in Sheikh Omar area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and eight people were injured in the blast. No group claimed responsibility for the incident.",Bus,,,99.0,Bus (non-tourist),,,,,19.0,Transportation,,,,,0.0,,16.0,Unknown Explosive Type,,,,,,,6,Explosives/Bombs/Dynamite,,,,,,,2016-01-03
