iyear,gname,target1,count
2012,Babbar Khalsa International (BKI),Former Lieutenant General: Kuldeep Singh Brar,1
2012,Dissident Republicans,Derry City Council,1
2012,Dissident Republicans,Local businesses,1
2012,Dissident Republicans,Office,1
2012,Dissident Republicans,Police Station,2
2012,Informal Anarchist Federation,Communications Mast,1
2012,Informal Anarchist Federation,Railway Signalling Cables,1
2012,Loyalists,Catholic Family,1
2012,Loyalists,Catholic Woman,1
2012,Loyalists,Offices of Member: Naomi Long,1
2012,Oglaigh na hEireann,Businessperson,1
2012,Oglaigh na hEireann,Civilians,1
2012,Oglaigh na hEireann,Officers,2
2012,Oglaigh na hEireann,Patrol,1
2012,Oglaigh na hEireann,Scottish Soldier,1
2012,Oglaigh na hEireann,Vehicle,1
2012,Real Irish Republican Army (RIRA),Vehicle,1
2012,Republican Action Against Drugs (RAAD),Police Car,1
2012,The New Irish Republican Army,Officer,1
2012,The New Irish Republican Army,Officer David Black,1
2012,The New Irish Republican Army,Patrol,1
2012,Ulster Volunteer Force (UVF),Car,1
2012,Ulster Volunteer Force (UVF),Civilian: James Hamilton,1
2012,Unknown,Apartment,1
2012,Unknown,Catholic Church,1
2012,Unknown,Church,2
2012,Unknown,Civilians,2
2012,Unknown,Danny Kinahan - Member of Legislative Assembly,1
2012,Unknown,House,1
2012,Unknown,Photographer: Mark Pearce,1
2012,Unknown,Police Station,2
2012,Unknown,Postbox,1
2012,Unknown,Residence,2
2012,Unknown,Residences,1
2012,Unknown,School,1
2012,Unknown,Tenement Building,1
2012,Unknown,Toberhewny Hall,1
2012,Unknown,Unknown,6
2012,Unknown,Vehicle,2
2013,Angry Foxes Cell,Under-Construction Firearms Training Center,1
2013,Borderless Solidarity Cell (BSC),Prison Van,1
2013,Continuity Irish Republican Army (CIRA),Headquarters,1
2013,Dissident Republicans,Former Officer,1
2013,Dissident Republicans,Golf Store,1
2013,Dissident Republicans,Headquarters,1
2013,Dissident Republicans,Lisnaskea Barracks,1
2013,Dissident Republicans,Member: Willie Frazer,1
2013,Dissident Republicans,Officers,2
2013,Dissident Republicans,Omega Van,3
2013,Dissident Republicans,PSNI Armored Patrol,1
2013,Dissident Republicans,Patrol,3
2013,Dissident Republicans,Patrol Vehicle,1
2013,Dissident Republicans,Police Officer,1
2013,Dissident Republicans,Police Officer: Matt Baggot,1
2013,Dissident Republicans,Police Station,2
2013,Dissident Republicans,Power Pylon,1
2013,Dissident Republicans,School Building,1
2013,Dissident Republicans,Seacourt Estate,1
2013,Dissident Republicans,Secretary of State for Northern Ireland: Theresa Villiers,1
2013,Dissident Republicans,Secretary:Theresa Villiers,1
2013,Dissident Republicans,Senior Officer: Andy Lemon,1
2013,Dissident Republicans,Senior Serving Police Officer,1
2013,Dissident Republicans,Vehicle,1
2013,English Defense League (EDL),Mosque,1
2013,Informal Anarchist Federation,Bank Branch,1
2013,Informal Anarchist Federation,Communications Mast,1
2013,Loyalists,Church,1
2013,Oglaigh na hEireann,Cathedral Quarter Neighborhood,1
2013,Oglaigh na hEireann,Civilian,1
2013,Oglaigh na hEireann,Community Center,1
2013,Oglaigh na hEireann,Hotel,1
2013,Oglaigh na hEireann,Patrol,1
2013,Oglaigh na hEireann,Shopping Mall,1
2013,Oglaigh na hEireann,Store,1
2013,Oglaigh na hEireann,Unknown,1
2013,Oglaigh na hEireann,Vehicle,2
2013,Protestant Extremists,Riot Police: Officers,1
2013,Real Ulster Freedom Fighters (UFF) - Northern Ireland,Residence,1
2013,The New Irish Republican Army,Catholic Civilian: Kevin Kearney,1
2013,The New Irish Republican Army,Civilian: Barry McGorry,1
2013,The New Irish Republican Army,Strand Road Police Station,1
2013,The New Irish Republican Army,Vehicles,1
2013,Ulster Freedom Fighters (UFF),Civilian: Tracey Coulter,1
2013,Unaffiliated Individual(s),Mosque,5
2013,Unaffiliated Individual(s),Muslim Civilian: Mohammed Saleem,1
2013,Unaffiliated Individual(s),Soldier,1
2013,Unknown,Admirals Park,1
2013,Unknown,Apprentice Boys Easter Parade,1
2013,Unknown,Ardaveen Park,1
2013,Unknown,Blue Vauxhall Meriva,1
2013,Unknown,Car,1
2013,Unknown,Catholic Church,1
2013,Unknown,Checkpoint,1
2013,Unknown,Church,3
2013,Unknown,Civilians,4
2013,Unknown,Cluan Place,1
2013,Unknown,Commercial Area,1
2013,Unknown,Constituency Office of Member: Nick Boles,1
2013,Unknown,House,2
2013,Unknown,Islamic Boarding School,1
2013,Unknown,Kenilworth Place,1
2013,Unknown,Lady Wallace Crescent,1
2013,Unknown,Letterbox,1
2013,Unknown,Mallusk Gardens,1
2013,Unknown,Meeting Hall,1
2013,Unknown,Millar's Forge,1
2013,Unknown,Mosque,4
2013,Unknown,New Barnsley Station,1
2013,Unknown,Officers,1
2013,Unknown,Party Office,1
2013,Unknown,Party Offices,1
2013,Unknown,Patrol,1
2013,Unknown,Patrol Vehicle,1
2013,Unknown,Prison Guards,1
2013,Unknown,Private Residence,1
2013,Unknown,Property,1
2013,Unknown,Residence,11
2013,Unknown,Residences,1
2013,Unknown,Residential Area,6
2013,Unknown,Robert L. Mitchell Memorial Hall,1
2013,Unknown,School Lane,1
2013,Unknown,School Playground,1
2013,Unknown,Showgrounds,1
2013,Unknown,Strand Road Police Station,1
2013,Unknown,Strand Walk: Residence,1
2013,Unknown,Twinbrook Estate,1
2013,Unknown,Unknown,12
2013,Unknown,Vehicle,1
