date,date,nkill
2016-01-01,31,29
2016-01-02,25,25
2016-01-03,42,40
2016-01-04,41,40
2016-01-05,40,38
2016-01-06,27,25
2016-01-07,41,40
2016-01-08,21,19
2016-01-09,26,24
2016-01-10,34,33
2016-01-11,77,76
2016-01-12,33,33
2016-01-13,40,37
2016-01-14,40,35
2016-01-15,49,46
2016-01-16,44,42
2016-01-17,44,42
2016-01-18,35,34
2016-01-19,25,23
2016-01-20,30,29
2016-01-21,39,39
2016-01-22,18,17
2016-01-23,34,34
2016-01-24,41,38
2016-01-25,37,37
2016-01-26,40,38
2016-01-27,31,28
2016-01-28,47,43
2016-01-29,30,28
2016-01-30,43,39
2016-01-31,52,50
2016-02-01,35,32
2016-02-02,43,41
2016-02-03,63,62
2016-02-04,32,30
2016-02-05,42,38
2016-02-06,57,56
2016-02-07,34,29
2016-02-08,29,27
2016-02-09,33,32
2016-02-10,34,32
2016-02-11,36,33
2016-02-12,53,52
2016-02-13,31,30
2016-02-14,34,32
2016-02-15,47,46
2016-02-16,51,49
2016-02-17,41,39
2016-02-18,37,36
2016-02-19,34,33
2016-02-20,26,26
2016-02-21,39,36
2016-02-22,39,37
2016-02-23,43,42
2016-02-24,49,49
2016-02-25,29,29
2016-02-26,29,28
2016-02-27,45,45
2016-02-28,31,29
2016-02-29,48,44
2016-03-01,37,36
2016-03-02,38,37
2016-03-03,43,40
2016-03-04,24,22
2016-03-05,33,31
2016-03-06,37,33
2016-03-07,44,37
2016-03-08,41,38
2016-03-09,42,42
2016-03-10,28,24
2016-03-11,42,41
2016-03-12,48,41
2016-03-13,71,66
2016-03-14,41,39
2016-03-15,48,48
2016-03-16,37,34
2016-03-17,28,26
2016-03-18,23,23
2016-03-19,29,29
2016-03-20,31,31
2016-03-21,31,30
2016-03-22,62,60
2016-03-23,30,27
2016-03-24,37,36
2016-03-25,28,27
2016-03-26,26,26
2016-03-27,30,30
2016-03-28,27,27
2016-03-29,26,25
2016-03-30,42,40
2016-03-31,37,32
2016-04-01,26,24
2016-04-02,23,23
2016-04-03,47,45
2016-04-04,65,61
2016-04-05,32,29
2016-04-06,39,35
2016-04-07,33,32
2016-04-08,26,25
2016-04-09,41,41
2016-04-10,36,34
2016-04-11,34,34
2016-04-12,35,32
2016-04-13,48,46
2016-04-14,36,33
2016-04-15,46,42
2016-04-16,37,32
2016-04-17,39,37
2016-04-18,50,46
2016-04-19,30,29
2016-04-20,38,36
2016-04-21,33,32
2016-04-22,26,24
2016-04-23,31,29
2016-04-24,30,29
2016-04-25,55,54
2016-04-26,34,30
2016-04-27,44,40
2016-04-28,43,41
2016-04-29,30,28
2016-04-30,25,23
2016-05-01,49,46
2016-05-02,48,46
2016-05-03,41,33
2016-05-04,50,48
2016-05-05,48,47
2016-05-06,39,36
2016-05-07,47,46
2016-05-08,64,60
2016-05-09,67,58
2016-05-10,54,50
2016-05-11,28,27
2016-05-12,40,40
2016-05-13,21,17
2016-05-14,43,41
2016-05-15,36,35
2016-05-16,39,38
2016-05-17,42,38
2016-05-18,50,47
2016-05-19,37,34
2016-05-20,27,24
2016-05-21,40,36
2016-05-22,21,21
2016-05-23,40,36
2016-05-24,48,45
2016-05-25,46,44
2016-05-26,38,37
2016-05-27,26,24
2016-05-28,33,32
2016-05-29,83,82
2016-05-30,56,52
2016-05-31,40,37
2016-06-01,44,43
2016-06-02,20,19
2016-06-03,33,31
2016-06-04,30,27
2016-06-05,78,77
2016-06-06,44,40
2016-06-07,46,45
